years_ago;desc
4,650;"earliest massive stone monuments: step pyramid tomb of pharaoh Djoser in Saqqara, Egypt; contemporaneous pyramidal architecture in Caral-Supe, Peru; megalith at Stonehenge, Britain"
4,550;earliest dictionary: cuneiform tablets translating between Sumerian and Eblaic (Ebla, Syria)
4,550;"earliest writing on papyrus: Diary of Merer, documenting construction of the Great Pyramid (Wadi al-Jarf, Egypt) ? parchment by 200 BCE, Greece; paper from pulp by 100 BCE, China"
4,550;architectural precision: the Great Pyramid of Giza (Egypt), taller than any other building in the world for 3,800 years
4,500;"earliest locks (Egypt): door bolts ? emergence of private ownership and privacy; lock and key by 1500 BCE for unguarded secrecy"
4,500;earliest animal husbandry to produce a hybrid: the kunga, foal of a female domestic donkey and male wild ass (Umm el-Marra, Syria), used for diplomacy, ceremony, warfare
4,350;earliest government reforms, addressing taxes and corruption (Uru-KA-gina, King of Lagash and Girsu, Mesopotamia) ? modern corruption suppressed by long exposure to democracy
4,350;first emperor of a state: Sargon the Great, Akkadian Empire (expanding across Mesopotamia, Levant, Anatolia) ? beginnings of artistic emphasis on the person of the ruler as an individual
4,300;"earliest records of marriage (late 3?? millennium BCE, Akkadian clay tablets): an economic arrangement for child rearing ? a loving relationship particularly in Western nations; now declining globally"
4,200;decline of Bronze-Age civilisations in Egypt, Greece and Mesopotamia, and terminal decline of Indus Valley civilisation, caused by centuries of drought beginning c. 2200 BCE
4,100;earliest code of law, applying general principles to particular cases (Code of Ur-Nammu, Sumerian King of Ur, Mesopotamia)
4,050;earliest recorded poetry (Nippur, Iraq): a Sumerian love poem of passionate ardour, expressing an emotional truth about the human spirit
4,000;extinction of last remnant population of woolly mammoths, on Wrangle Island, Arctic Sea
4,000;earliest use of coal as fuel (Inner Mongolia and Shanxi, China), for smelting copper, cooking, heating ? peak global coal production of 8.2 billion tonnes/year in CE 2013?
4,000;earliest abacus, replacing tables of multiplication, reciprocals, powers (Old Babylonians, Mesopotamia c. 2000-1600 BCE) ? nanoscale abacus storing numerical information in individual molecules by CE 1996
3,900;earliest map of a territory: 3-dimensional topography covering 30 km of the Odet river valley, sculpted to scale on a schist rock slab (Saint-Bélec, France)
3,900;establishment of a 7-day week (Assyria and Babylonia)
3,850;earliest alphabetic script (Proto-Sinaitic, Sinai and Egypt) ? economy of signs
3,850;earliest architectural arch, a Canaanite gate (Ashkelon, Israel) ? breakthrough in construction of gateways, vaults, doors, windows, bridges: converting tensile stress into compressive stress
3,850;earliest record of contraception: Kahun Gynaecological Papyrus (Lehun, Egypt) ? distinction of sexual intercourse from reproduction
3,800;"beginnings of complex societies: Babylonian civilisation in Mesopotamia, 1800 BCE; Olmec civilisation in Mesoamerica, 1800 BCE; Shang dynasty in China, 1600 BCE; New Kingdom in Egypt, 1600 BCE"
3,800;earliest extraction and working of iron (Anatolia) ? alloying with carbon to make steel in Cyprus by 1100 BCE
3,800;earliest prose fiction: Epic of Gilgamesh (in cuneiform on clay tablets, Ur, Mesopotamia), a heroic story of the tragicomedy of life, love won and lost, and inevitable death
3,750;earliest principles of property insurance, against faulty construction that results in loss or damage (Code of Hammurabi, Babylon): proportionate compensation
3,750;earliest cultivation of the tea plant Camellia sinensis (China, early 2?? millennium BCE) ? now the most frequently consumed beverage worldwide, with many health benefits
3,650;harvesting of latex from the Castilla elastica tree to make rubber for balls and figurines (Mexico): the first plastic polymer ? unsurpassed sliding friction and durable elasticity
3,650;"earliest team sport: rubber-ball game played in an architectural ballcourt (Paso de la Amada, Mexico) ? social compacts; decapitation rituals by CE 500"
3,650;earliest porcelaneous high-fired ceramics (Piaoshan kiln, China): fragile when whole, indestructible as broken shards ? true porcelain by early CE, China
3,650;earliest stencils of archetypes, for hyperbolae, ellipses and spirals, used in the Gathering of Crocus wall painting (Thera, Aegean Sea): knowledge of the foundations of geometry
3,650;earliest planetary observations, of the motions of Venus (reign of Ammisaduqa, king of Babylon)
3,550;reckoning with fractions and geometry (Rhind Mathematical Papyrus, Egypt)
3,550;"first accurate timepiece: an outflow water-clock (Amenemhet, court of Amenhotep I, Egypt) measuring night-time; shadow clocks and sundials regulating daytime worker shifts"
3,500;"earliest depiction of joyful and uninhibited celebration by ordinary people (Minoan Harvester Vase, Agia Triada, Crete); happiness sought and found in meeting a need"
3,400;"earliest colonisation of Remote Oceania (Mariana archipelago) ? migrations to all Pacific archipelagos over the next 3 millennia; women settling, men dispersing"
3,350;"early depictions of mutual affection: Nefertiti holding the hand of her husband pharaoh Akhenaten, and gentleness: Ankhesenamun anointing her husband pharaoh Tutankhamun (Egypt); meaning in life found in engagement with others"
3,300;"earliest notated music: Hurrian Hymn to Nikkal (in cuneiform, Ugarit, Syria); the singing voice carrying further than the spoken voice, conveying feeling"
3,200;sea-going trade in silver and dyes by Phoenicians, connecting the Levant with western Europe across the Mediterranean to the Atlantic Ocean
3,050;"start of the Iron Age (Aegean; Britain by 800 BCE), iron replacing bronze for tools and weapons"
3,000;use of hydraulic plaster, mixing lime with silicates (Tell es-Safi/Gath, Israel) ? concrete in Ancient Rome by CE 70, the dominant building material of modern times
3,000;earliest depiction of the cosmos: a bronze disc inlaid with gold symbols of the Sun, Moon, and stars including the Pleiades cluster (Nebra, Germany)
2,950;first Jewish temple (King Solomon, Jerusalem) ? rise of Judaism for a chosen people
2,900;"earliest centre of higher learning (Taxila University, India) ? Plato’s Academy in Greece by 387 BCE; Taixue University in China by CE 3; Al-Karaouine University in Morocco by CE 859; European medieval universities"
2,900;accurate prediction of lunar eclipses (Berlin Gold Hat, Germany)
2,900;standardization of value: adoption of cowrie shells as money (Middle Western Zhou period, China) ? cowrie monetary systems in Asia and West Africa during 3 millennia
2,840;earliest professional army (Lacedaemonians of Sparta, Greece, described by Xenophon, 388 BCE), sustained by a social contract: duties rewarded with citizenship
2,800;first Olympic games (Olympia, Peloponnesus, 776 BCE): a 4-yearly truce bringing together athletes to compete for the symbolic reward of an olive wreath ? revival in CE 1896
2,700;first book of European literature: The Iliad (Homer, Greece), an epic poem on the pathos of loss and suffering caused by war
2,700;Archimedes’ Screw, used to irrigate Sennacherib’s elevated garden (river Tigris, Mesopotamia), described by Archimedes 4 centuries later
2,650;earliest collection of scholarly texts, on 32,000 cuneiform tablets: the Library of Ashurbanipal (Nineveh, Iraq)
2,650;earliest use of coinage (Ionia or Lydia, Anatolia): many denominations of stamped electrum, a gold-silver alloy ? government-controlled economy of transaction costs
2,600;first circumnavigation of the African continent (Phoenicians from Arw?d, reported by Herodotus in The Histories 430 BCE)
2,550;earliest cartography: a map of the known world, by Anaximander (Greece, c. 550 BCE, reported in Strabo’s Geographica 7 BCE)
2,550;first Persian Empire (Cyrus the Great, Persia), connecting the Mediterranean to the Indus Valley ? code of just rule that respects others’ faiths
2,550;training in surgery and anatomy, described in the Susruta Samhita (northern India, 6?? century BCE)
2,550;professional policing, investigating criminal cases, addressing injustices (the paq?du of Babylonia c. 550 BCE)
2,500;"height of Greek civilisation (Greece, 6?? to 4?? centuries BCE) ? foundations of Western philosophy, ethics, poetry, drama; first democracy 508 BCE"
2,500;construction of a navigable canal from the Nile to the Red Sea (Darius I of Persia) ? Suez Canal by CE 1869, the shortest maritime route between Europe and Asia
2,500;earliest use of cannabis as a psychoactive substance (Jirzankal Cemetery, China) ? modern narco-trafficking spread by counter-drug interdiction
2,450;earliest cast iron artefacts (Jiangsu, China) ? common era uses in manufacture of utensils, pipes, wheels, axle bearings, crankshafts, casings and liners, cannons, bridges, buildings
2,450;invention of a 360° zodiac (Babylonia) ? longitudes of planets
2,450;collection of the sayings of Confucius (551-479 BCE, China) into the Analects, founding Confucianism, with a role for every person in society, and universal education
2,450;collection of the Torah and other scriptures into the Hebrew Bible ? Christian Old Testament 500 years later, including the divine authority of the Ten Commandments
2,400;"Siddh?rtha Gautama (Buddha, c. 480-400 BCE, Ancient India) lays the foundations of Buddhism, with joy as a calling towards the path of nirvana; rebirth in hell for misconduct"
2,400;earliest in-patient hospitals (King Pa??uk?bhaya, Sri Lanka) ? professional care for the sick
2,400;Hippocratic Oath (ascribed to Hippocrates, c. 400 BCE), swearing to uphold medical standards ? modern versions still a rite of passage and moral compass for clinicians
2,400;idea that justice and virtue are inherent qualities of inner harmony (Plato’s Republic, Greece): limits to the liability of external forces for conduct ? moral conscience of Christianity
2,400;first sighting of another moon: Jupiter’s Ganymede, discovered with the naked eye (Gan De, China) ? rediscovery by Galileo Galilei in CE 1610, using a 20× telescope
2,350;concept of time-velocity space (Babylonia): displacement of Jupiter calculated as the area under a graph of its velocity over time, foreshadowing integral calculus
2,350;development of formal systems of reasoning, by logical deduction from axioms and postulates (Aristotle, Greece) ? scientific disciplines
2,350;understanding of the emotions as dimensions of feeling that affect judgement (Aristotle, Greece): anger, love, fear, shame, kindness, pity, envy, emulation
2,350;political theory of social welfare (Aristotle, Greece): a state tax on assets of affluent citizens for distribution amongst the poor
2,350;compilation of the Tao Te Ching (China) on peace and war, founding Taoism in ritual cultivation of life’s inherent natural and spiritual forces, benefitting all
2,300;mass persuasion, using silver coins stamped with the head of previous legendary ruler Alexander the Great (Lampsacus, Turkey): appropriating history to glorify the present
2,300;"earliest economic exploitation of chicken outside East Asia (Southern Levant); now the world’s most ubiquitous species of livestock, a principle source of protein"
2,300;postulation of Euclidean geometry of flat surfaces (Euclid of Alexandria, Greece) ? first printed edition of Euclid’s Elements, CE 1482
2,300;first hypothesis that Earth revolves around the Sun (Aristarchus of Samos, Greece, reported in Archimedes’ The Sand Reckoner, c. 260 BCE)
2,250;first estimation of ? within known limits (Archimedes, Greece), describing circles, discs, spheres, cones, orbits, loops, spirals, waves, using methods that anticipate CE 17?? century calculus
2,250;earliest accurate estimates of the circumference, diameter and tilt of a spherical Earth (Eratosthenes, Greece, c. 250 BCE, reported by Pliny CE 77)
2,250;"earliest watermills (Egypt; Anatolia by 50 BCE, reported in Strabo’s Geographica 7 BCE), milling grain, processing ore; the first machines to harness a natural force for mechanical work"
2,250;construction of the Great Wall, stretching 1,900 km (Emperor Qin Shi Huang, China) ? 21,196 km by the Ming dynasty to CE 1644
2,200;"fusion of Indian cultures and traditions into Hinduism, with worship posthumously rewarded by favourable rebirth; torment in hell for sinners ? currently the third most populous religion, after Christianity and Islam"
2,200;"widespread adoption of seed drills (Han dynasty, northern China); reinvention by Jethro Tull in CE 1701, Britain ? production efficiency heralding the dawn of modern agriculture"
2,150;earliest attempt to map the night sky (Hipparchus’ Star Catalogue c. 130 BCE, Rhodes), accurate to within 1° ? astronomy as predictive science
2,100;"first analogue computer: Antikythera Mechanism of bronze gears, mechanising solar and lunar epicycles and eclipses, and motions of the planets in the known cosmos (Antikythera, Greece); unsurpassed for 1,400 years"
2,100;earliest positional system of decimal fractions, for algorithmic calculations with positive and negative numbers using counting rods (China)
2,100;establishment of the Silk Roads, for overland trade between East Asia and southern Europe ? China’s CE 2013 Belt and Road Initiative, opening routes to trade and investment in 70 economies
2,050;"rise of the Roman Empire (Europe), enduring c. 600 years ? infrastructure of roads, using designs that still prevail, and aqueducts; self-strengthening concrete, lead-pipe plumbing and sanitation; leap years"
1,950;"death of Jesus of Nazareth and transcribing of his life in the New Testament ? rise of Christianity, with salvation for the righteous and heaven as reward; sinners fear hell"
1,950;earliest encyclopaedia (Pliny the Elder, Italy, Naturalis Historia books 1-5, 6-10, 11-17, 18-23, 24-31, 32-37 CE 77)
1,900;"maritime trade routes between Africa, India, China, for spices, medicines, fabrics; connecting to Ancient Rome through Alexandria"
1,900;use of paper for writing and painting begins to supplant bamboo and silk in China (Emperor He, Eastern Han dynasty, c. 100)
1,900;"invention of the seismoscope (Zhang Heng, China, 132), detecting earthquakes 600 km away; the first device to enhance the reach of sensory perception since the orb-weaving spider first outsourced hearing to its web"
1,850;development of the astrolabe from celestial globes, locating Sun and stars in relation to the equator (Ptolemy, Alexandria, c. 150) ? determination of latitude
1,850;earliest industrial complex: watermills of Barbegal (France, 2?? century), producing 25 tons/day of hardtack for local harbours
1,750;firing of natural gas in southwest China, to boil brine for salt (Bowu zhi c. 290), and to pipe into homes for lighting (Huayang Guo Zhi c. 340) ? 3.9 trillion m³/year of global gas extraction by 2018 and rising
1,750;use of mineral oil in central China, to lubricate axles and to seal water tanks (Bowu zhi c. 290, reported in Shui Jing Zhu c. 500) ? 5.0 billion tonnes/year of global oil extraction by 2018: peak production?
1,700;"beginning of central Europe’s 300-year Migration Period: cultural and socioeconomic turmoil coinciding with climatic variability; Mongolian Avar warriors overwhelming the eastern Roman Empire"
1,650;earliest explicit use of zero, in the Maya Classic Period (Uaxactun, Guatemala, 357)
1,600;spread of urbanisation, with cities of over 100,000 people in Roman, Chinese and Mesoamerican empires (Teotihuacan, Mexico, covering 18 km² c. 400) ? specialisation of trades and occupations
1,600;human desire for personal relations with god, communicated to the masses as a king’s privilege (India): Hindu ruler Kumaragupta I depicted on coins feeding a sacred peacock
1,500;"observation that free-falling bodies accelerate independently of their weights (John Philoponus, Alexandria, On Aristotle’s Physics 517) ? proved in 1687 for gravitational pull on bodies in a void; confirmed in space by 2022"
1,500;"invention of anno Domini, or AD (Dionysius Exiguus, Romania, 532); called anno aerae nostrae vulgaris by Johannes Kepler in 1615, now Common Era, or CE ? no calendar year zero"
1,500;"crop failures across the northern hemisphere caused by volcanic eruptions in Iceland; then bubonic plague (536-547) ? century of economic stagnation"
1,450;earliest block printing on paper (China, c. 550) ? widespread use of printed books in 11?? century Song dynasty China
1,400;discovery of Antarctica by Polynesian M?oris (Hui Te Rangiora on the vessel Te Ivi o Atea, from New Zealand, early 7?? century) ? numerous visits over subsequent centuries
1,400;introduction of rules governing the use of zero in number systems (Brahmagupta, India, Br?hmasphu?asiddh?nta 628)
1,350;"death of the prophet Muhammad (Mecca, Saudi Arabia, 632) and transcribing of his revelations in the Qur'an ? rise of Islam, with prayer guiding righteous deeds and paradise as reward; hell for disbelievers"
1,300;Islamic Golden Age, from 8?? to 14?? centuries: flourishing art, design, architecture, and scientific innovation
1,300;over 700 European cities exceed 1,000 inhabitants in CE 700, of which only Constantinople exceeds 100,000 ? 22 such cities by 1800, thereafter rising exponentially to 665 by 2000
1,250;"establishment of the Papal States (Pope Stephen II, central Italy, 754) ? global reach of the Catholic Church headed by a pope; 900 years of European art and architecture subjugated to Christianity"
1,200;earliest use of statistical inference (Ab? Y?suf Ya'q?b ibn Is??q al-Kind?, Iraq, Risalah fi Istikhraj al-Mu'amma 841), for cryptography ? analysis of distributed variables
1,150;"Norse colonisation of Iceland, 874, from Norway in the Viking Age; deforestation and sheep grazing erode soils, driving down the island’s vegetation irretrievably to a half, and forests to 4%, of original extent"
1,100;earliest windmills (Khorasan, Iran-Afghanistan, c. 900, recorded by Ibr?h?m ibn Mu?ammad I??akhr?)
1,050;"Norse colonisation of Greenland by Viking Erik Thorvaldsson, 985; Newfoundland by his son Leif, at least by 1021: human migrations henceforth encircling the globe ? a century of harvesting North American stockfish and eiderdown"
1,000;sexagesimal subdivision of the hour into 60 minutes, and the minute into 60 seconds (Abu Rayhan Al-Biruni, Iran, c. 1000)
1,001;invention of the camera obscura (Ibn al-Haytham, Iraq, Kitab al-Manazir [Book of Optics] 1011-1021), projecting images through a pinhole: birth of evidence-based science, in experimental studies of light and vision
978;formula for gunpowder, used for fire arrows, incendiary projectiles, smoke bombs (Northern Song dynasty, China, Wujing Zongyao 1044) ? cannons by 1128, guns by c. 1270, rockets by 1272
967;first hospice (Jerusalem, c. 1055) ? professional palliative care for the dying
962;beginning of 300 years of warring Crusades in the name of the Latin Church, against Islamic rule in the biblical Land of Israel and Palestine
900;first government-issued paper money (Song dynasty, China) ? a trusted IOU bundling Aristotle’s functions of money, as medium of exchange, mode of payment, unit of account, store of value
870;eastward migrating Asian Polynesians meet westward migrating South Americans (southern Pacific Marquesas Islands, c. 1150) ? admixture on Easter Island by 1380, construction of monumental stone statues
816;"rise of the Mongol Empire connecting the Pacific to the Mediterranean, founded by Genghis Khan; recounted by Marco Polo c. 1300 ? 35 million male-line descendants of Genghis Khan across modern Asia"
807;"first declaration of human rights: Magna Carta (King John of England, 15/6/1215) ? the first and now oldest national constitution; Universal Declaration of Human Rights, 1948"
739;first mechanical clock with an escapement mechanism (Dunstable Priory, Britain, 1283), regulating clock speed
736;discovery of the art of making eyeglasses (anon., Italy, 1286), “one of the best and most necessary arts that the world has” – Friar Giordano da Rivalto, 23/2/1305 ? 2.5 billion people needing yet not having glasses in 2016
720;"start of the northern hemisphere Little Ice Age (1300-1850) ? crop failures, social upheaval; perhaps curbed and curtailed by greenhouse-gas emissions during 8,000 years of forest clearance for agriculture"
685;accretion of personal wealth from gold by Mansa Musa I (c. 1280-1337), Emperor of Mali and richest person in history: peak of inequality amongst individuals ? gold still a safe haven in money markets
676;"bubonic plague caused by the Black Death bacillus Yersinia pestis kills a third of the human population across much of Europe, 1346-53; originating in Kyrgyzstan or the Himalayas, transmitted by rats and their fleas"
670;"earliest cultivation of Coffea arabica for coffee (Yemen, using Ethiopian seeds, 14?? century) ? 100 million coffee farmers supplying 2 billion cups per day; extinction threats to most wild coffee species"
625;"earliest banking (Medici Bank, Italy, 1397) ? modern function as intermediary between savers and borrowers; inherent vulnerable to liquidity shocks, with bank runs driving economic downturns"
620;birth of the European Renaissance (Italy), rise of individuality, imagination, innovation, capitalism
604;"accurate geometrical perspective in painting (Filippo Brunelleschi, Italy, c. 1418; codified by Leon Battista Alberti, Italy, De Pictura 1436)"
584;"Inca expansion, becoming the world’s largest empire by 1500, ruling 12 million people over 5,000 km of Andes; altiplano labour economy powered by llamas for transport"
582;first mechanical printing press with movable type (Johannes Gutenberg, Germany, 1440) ? mass production, dissemination and survival of journals, pamphlets and books, of theology, criticism, history, science, narrative fiction
530;"European mariners reach the Americas (Christopher Columbus from Spain, 1492) ? colonial settlements; 16?? century Columbian Exchange of cultural infrastructure between New and Old Worlds, and Great Dying of 56 million indigenous peoples of the Americas"
524;"European mariners reach India (Vasco da Gama from Portugal, 1498), connecting the Atlantic to the Indian Ocean ? colonial empires in Africa and Asia; Indian Ocean trade; global multiculturalism"
520;foundations of Western art laid by Leonardo da Vinci (Italy, 1452-1519) and Michelangelo di Lodovico Buonarroti Simoni (Italy, 1475-1564), in humanist sculpture, drawing, portraiture and frescos
510;technical drawing of anatomical features, mechanisms and engineering designs (Leonardo da Vinci, Italy, c. 1510)
506;concept of utopia, imagined as an island society in the New World that implausibly meets all human desires (Thomas More, Britain, Utopia 1516) ? political ideal theory
505;Reformation, splitting the universal Christian world into sects (Martin Luther, Germany, 1517)
500;first circumnavigation of the globe (Ferdinand Magellan from Spain to Philippines, Juan Sebastián Elcano return to Spain, 1519-22) ? globalisation of sea trade
496;beginning of the Atlantic slave trade by Europeans (1526) ? 12 million slaves exported from Africa to the Americas up to 1900
480;"global population of humans passes 500 million; annual energy use per person averages 9,800 kWh, 14× the resting metabolism"
479;theory of Earth and the planets revolving around the Sun (Nicolaus Copernicus, Poland, De Revolutionibus Orbium Coelestium 1543) ? pursuit of supporting evidence
440;introduction of the Gregorian calendar (Pope Gregory XIII, Italy, 1582) ? de facto international standard for civil calendars
440;first entrepreneurial newspaper publishers (Ming Dynasty Beijing, China, 1582) ? independent reporting that witnesses torment, investigates oppression, safeguards freedom of expression
417;first modern novel (Miguel de Cervantes, Spain, Don Quixote 1605 and 1615): an unreliable narrator describes the mercifully funny consequences of free will colliding with fate
414;invention of the refracting telescope (Hans Lipperhey, Netherlands, 1608), enhancing the reach of visual perception by 3×
413;inversion of the refracting telescope to create a compound microscope (Galileo Galilei, Italy, described in Il Saggiatore 1623) ? cryo-electron microscopy imaging atoms in molecules by 2020
412;observations of the orbits of Jupiter’s moons (Galileo Galilei, Italy, Sidereus Nuncius 1610), falsifying church doctrine of Earth as the only centre of movement in the Universe ? authority of evidence-based science
410;concept of a universal clock, calibrated on orbital periods of Jupiter’s moons (Galileo Galilei, Italy, 1612) ? accurate estimation of longitude for navigation, given a stable observation platform
403;distances of planets from the Sun measured relative to Earth’s distance of 1 astronomical unit (Johannes Kepler, Germany, Harmonices Mundi 1619)
401;first medical treatise on mental welfare (Robert Burton, Britain, The Anatomy of Melancholy 1621), the author confiding in his reader ? association with nature, physical health and exercise, social stability and inclusion
394;"first graph of distributed observations (Michael Florent van Langren, Netherlands, 1628); line graphs and bar charts by 1786 ? data visualisation that saves lives"
390;basic principle of relativity: the laws of nature apply equally to any frame of reference in constant linear motion, regardless of its speed (Galileo Galilei, Italy, Dialogo 1632)
385;"idea that truth is the product of autonomous reason (René Descartes, France, Discours de la Méthode 1637; Méditations 1641) ? emancipation from revelational truth and religious doctrine; distinction of mind from matter"
380;earliest functioning mechanical calculator, for addition and subtraction: the Pascaline (Blaise Pascal, France, 1642)
372;relatedness of married couples averages about fourth cousin in 1650 for Europe and North America ? decreasing only from 1870 onwards with cousin marriage prohibitions
366;first pendulum clock (Christiaan Huygens, Netherlands, 25/12/1656), developing on ideas by Galileo Galilei ? unsurpassed accuracy on land for 275 years
357;identification of organismal cells (Robert Hooke, Britain, Micrographia 1665), the smallest unit of structure and function for all life forms
357;notion of gravitation as a universal force, occasioned to Isaac Newton by the fall of an apple (Britain, as recounted to William Stukeley in 1726) ? four fundamental interactions: gravitational, electromagnetic, strong and weak nuclear forces
357;concept and measure of Gross Domestic Product: GDP, the annual value of a country’s output (William Petty, Britain, 1665) ? a globally favoured index of prosperity from 1953, conflating growth in productivity with drawdown of capital
353;artistic rendering of unconditional forgiveness, in Rembrandt’s Return of the Prodigal Son (Netherlands, 1669) ? limits to the conditionality of transactions
346;discovery of single-celled organisms (Antonie van Leeuwenhoek, Netherlands, 1676) ? science of microbiology
346;"first determination of the speed of light (Ole Rømer, Denmark, 1676): 299,792 km per second; 9.46 trillion km per year ? light-year measure of distance"
335;formulation of laws of motion and universal gravitation, applicable to all the phenomena of the cosmos (Isaac Newton, Britain, Principia 1687): foundation of classical mechanics ? European Age of Enlightenment
332;"extinction of the dodo (Mauritius, c. 1690) ? symbol of stupidity: the pigeon that couldn’t fly; later symbolic of human wreckage across three-quarters of Earth’s land and two-thirds of oceans"
320;"rapid colonisation of Americas, India and Australia by Europeans from the early 1700s ? dominion of India by the British East India Company from 1760s; British rule 1858-1947"
320;modest improvements in global GDP per capita since CE 1 henceforth begin accelerating in western Europe and North America ? acceleration in Latin America and Asia from 1950, Africa from 2000
287;cataloguing of organisms by genera and species (Carl Linnaeus, Sweden, Systema Naturae 1735-1768) ? modern classification of 2 million from an estimated 8 million eukaryote species, possibly 1 trillion microbes
263;first accurate sea clock: H4 (John Harrison, Britain, 1759), a pocket watch with high-frequency balance wheel, solving the problem of longitude for marine navigation
261;first observed transit of Venus across the Sun (6/6/1761) ? 1 astronomical unit of distance from Earth to Sun equal to 149,597,870.691 km
253;invention of the first cost-effective steam engine (James Watt, Britain, 1769) ? powered machinery, Industrial Revolution
252;invention of the spinning jenny (James Hargreaves, Britain, 1770), mechanising the spinning of cotton ? cloth weaving factories by 1771
249;establishment of the law of conservation of mass (Antoine Lavoisier, France, 1773): the amount of matter cannot change
248;"vaccination with an attenuated pathogen: cowpox to treat smallpox (Benjamin Jesty, Britain, 1774; Edward Jenner, Britain, 1798) ? artificial attenuation by 1881; vaccination programmes save more lives than any other medical intervention in history"
246;declaration of independence of the United States of America from colonial rule, and of the unalienable rights of all humanity to life, liberty, and the pursuit of happiness (4/7/1776) ? economic superstate of the USA
246;idea that pursuit of self-interest leads to the common good (Adam Smith, Britain, The Wealth of Nations 1776) ? free markets, producing unequal opportunity unless government regulates trade
244;first national nature reserve (Bogd Khan Uul, Mongolia, 1778) ? global protected areas cover 15% of land and 11% of ocean by 2018
242;"mass production of spun textiles, mechanised by water power; coal-fired and steam-powered production of iron and steel (beginning Britain, c. 1780) ? economies of scale, rising polarisation of rich and poor nations, dominance of fossil fuels"
241;"inherent limits to the powers of reason (Immanuel Kant, Germany, Critique of Pure Reason 1781): knowledge springs from understanding the objects of experience; pure reason is properly directed only to moral imperatives"
239;invention of aviation: first piloted free flight by humans, in a hot-air balloon constructed by Joseph-Michel and Jacques-Étienne Montgolfier (France, 21/11/1783)
238;first postulation of black holes (John Michell, Britain, 1784), later predicted by general relativity as singularities in spacetime, their gravitational fields pulling in all matter, and all electromagnetic radiation including light
233;"spread of Republicanism (French Revolution, 1789-1799) ? radical socio-political transformation in western Europe; building of nation states; metric system of weights and measures by 1792"
230;indictment of double standards in the treatment of women by men (Mary Wollstonecraft, Britain, A Vindication of the Rights of Woman 1792) ? slow progress towards gender equality
224;calculation of Earth’s density, using a torsion balance (Henry Cavendish, Britain, 1798) ? Newton’s gravitational constant G determining the gravitational force between two masses
224;"observation that population growth capacity always outpaces improvements in resources (Thomas Malthus, Britain, 1798) ? the struggle for existence facing all organisms; the challenge to human wellbeing, until the advent of oil-based economies"
223;first electrochemical battery (Alessandro Volta, Italy, 1799), sandwiching electrolyte-soaked pasteboard between two dissimilar metals to create a steady voltage ? mobile energy storage
215;concept of the mutual dependence of physical, climatological and organic phenomena (Alexander von Humboldt, Prussia, 1807) ? science of biogeography
214;"discovery of atoms, uniquely defining each chemical element of ordinary matter (John Dalton, UK, 1808) ? atomic masses of Earth’s 94 elements; hydrogen accounting for nine tenths of all atoms in the Universe"
205;"invention of the bicycle (Karl von Drais, Germany, 1817); pedals by 1853, chain by 1886, derailleur by 1895 ? the most efficient human-powered land vehicle"
201;"first demonstration of an electromagnetic rotary device (Michael Faraday, UK, 1821) ? dynamos to generate electricity; electric motors to convert electricity into mechanical energy"
200;"first prediction of Earth’s greenhouse effect (Joseph Fourier, France, 1822; tested empirically by Eunice Foote, USA, 1856, John Tyndall, Ireland, 1859) ? CO? emissions from fossil fuels cause global climate warming"
197;first public railway for steam locomotives (George Stephenson, UK, 1825), outpacing carriage horses, previously the fastest land transport during 5,300 years of human history
196;publication of String Quartet No. 14 in C-sharp minor Op. 131 by Ludwig van Beethoven (Germany, 1826): “hear only the direct revelation from another world” – Richard Wagner, 1870
196;first permanent photograph taken by a camera (Nicéphore Niépce, France, 1827) ? first image of a person, 1838: Louis Daguerre seizing the light, arresting its flight on silvered plate, preserving a moment in history
188;"invention of the Analytical Engine (Charles Babbage, UK, 1834), an unbuilt functional computer ? first computer programs by Babbage and Ada Lovelace; programmable computers by 1940s"
184;first scheduled trans-Atlantic steamer: coal-fired Great Western (Isambard Kingdom Brunel, UK, 1838) ? globalisation of economies
174;"scale of absolute temperature (Lord Kelvin, UK, 1848) ? fundamental limit to degree of coldness at 0 Kelvin = ??273.15°C; quantum gases forced lower get hotter"
172;principles of conservation of energy and gain of entropy (Rudolf Clausius, Germany, and Lord Kelvin, UK, 1850) ? laws of thermodynamics: heat flows from a warmer to a colder body – unless reversed by inertia
172;"industrial processing of flour and sugar; fattening of cattle in feedlots (Europe and USA, beginning c. 1850) ? biggest dietary shift since the beginning of agriculture"
166;first practical compression refrigerator (James Harrison, Australia, 1856), for storing perishable foods ? globalisation of trade in fresh and frozen meat, seafood, fruit and vegetables
163;invention of the lead-acid cell (Gaston Planté, France, 1859), the first rechargeable battery ? practical electric vehicles by the 1880s
163;theory of evolution by natural selection (Charles Darwin, UK, On the Origin of Species 1859), a law unique to biological systems ? heritable adaptations of individuals to their environment, speciation of populations through time, the diversity of life
163;first training manual for care of the sick regardless of their means (Florence Nightingale, UK, Notes on Nursing 1859) ? professional nursing, health benefits of fresh air and personal cleanliness
162;"factory production of internal-combustion engines (Jean Lenoir, Belgium, 1860; user manual 1864) ? electricity generators, vehicular transport"
162;development of Western modern art, during 100 years from c. 1860, depicting impressions of light and movement, expressive colours and forms, solitary and collective struggles, decisive moments and formative experience
157;theory that electricity, magnetism and light are all manifestations of electromagnetic radiation (James Maxwell, UK, 1865) ? foundations of quantum physics
